factor_code,part_number,quantity
factor_code,part_number,quantity
280,9301-250,2.0
380.1,40-5218,1.0
380.1,9301-210,0.05
380.1,33-2020,2.0
380.1,33-2000,0.08
380.1,12-2248,3.0
380.1,9301-240,1.0
180,9300-280,0.07
180,9301-100,1.0
382,9301-257,1.0
382,9301-210,0.08
382,33-2020,2.0
382,33-2000,0.08
380.2,40-2146,1.0
380.2,9301-210,0.05
380.2,33-2020,2.0
380.2,33-2000,0.08
380.2,12-2248,3.0
380.2,9301-240,1.0
380.2,9301-241,1.0
181,9300-280,0.05
181,9301-100,1.0
182,9301-160,0.01
185,9301-160,0.02
186,9300-310,0.02
186,9301-100,1.0
373.1,15-1060,1.0
373.1,15-1080,1.0
373.1,20-2120,1.0
373.1,20-2140,2.0
373.1,26-1300,1.0
490,33-1400,1.0
490,33-2520,1.0
490,32-1007,1.0
390,15-1300,2.0
371.1,30-2520,1.0
371.1,33-2380,2.0
371.1,33-1140,1.0
371.1,30-2600,1.0
371.1,11-1440,1.0
371.1,11-1660,1.0
270.1,150-360BS,1.0
270.1,150-300BS,1.0
270.1,150-060BS,4.0
270.1,408-015BS,4.0
270.1,498-015BS,1.0
270.1,9301-301,1.0
370.1,0002-20,1.0
370.1,9300-140,1.0
290,13-1440,1.0
290,15-1820,1.0
290,15-1800,1.0
290,15-1760,4.0
290,15-1580,4.0
290,15-1660,1.0
290,9301-301,1.0
290,9301-250,2.0
371.2,0002-10,1.0
371.2,9300-120,1.0
392,33-2020,2.0
392,33-2000,0.08
190,9300-480,0.1
370.2,30-2520,1.0
370.2,33-2380,2.0
370.2,33-1140,1.0
370.2,22-1530,1.0
291,13-1440,1.0
291,15-1820,1.0
291,15-1780,1.0
291,15-1740,2.0
291,15-1580,2.0
291,9301-301,1.0
291,9301-250,2.0
371.3,30-2520,1.0
371.3,33-2380,2.0
371.3,33-1140,1.0
371.3,30-2600,1.0
371.3,11-1080,0.0
371.3,11-1260,0.0
370.3,30-2520,1.0
370.3,22-1530,1.0
370.3,33-4500,1.0
370.3,33-4510,2.0
292,15-2167,1.0
292,15-2166,1.0
292,15-2130,2.0
292,15-2150,1.0
292,13-1420,1.0
292,9301-301,1.0
292,9301-250,2.0
371.4,0002-10,1.0
371.4,9300-120,1.0
899,9300-662,9.0
899,33-1680,0.05
899,33-1380,2.0
899,9302-240,7.0
899,9300-100,0.38
899,33-1720,0.03
899,33-1160,0.03
192,9300-485,0.1
370.4,30-2520,1.0
370.4,22-1530,1.0
370.4,33-2380,2.0
370.4,33-2580,1.0
371.5,0002-10,1.0
371.5,9300-120,1.0
371.5,30-2600,1.0
371.5,33-2380,2.0
371.5,9301-244,1.0
371.5,11-1440,1.0
371.5,11-1660,1.0
900,9300-662,9.0
900,33-1680,0.05
900,33-1380,2.0
900,9302-240,6.0
900,9300-100,0.14
900,33-1720,0.01
900,33-1160,0.01
395,12-2200,3.0
371.6,0002-10,1.0
371.6,9300-120,1.0
371.6,30-2600,1.0
371.6,33-2380,2.0
371.6,9301-244,1.0
371.6,11-1080,0.0
371.6,11-1260,0.0
901,9300-662,6.0
901,33-1680,0.05
901,33-1380,1.0
901,9302-240,4.0
901,9300-100,0.04
901,33-1720,0.0044
901,33-1160,0.0044
370.6,30-2520,1.0
370.6,33-2380,2.0
370.6,9301-244,1.0
370.6,22-1530,1.0
