factor_code,part_number,quantity
382,33-2020,2.0
382.1,33-2020,2.0
382.2,33-2020,2.0
390,33-2020,2.0
390.1,33-2020,1.0
391,33-2020,1.0
391.1,33-2020,1.0
392,33-2020,2.0
395,33-2020,2.0
395.1,33-2020,1.0
396,33-2020,1.0
397,33-2020,2.0
401,33-2020,2.0
401.1,33-2020,2.0
210.4,33-2040,1.0
220.2,33-2040,1.0
223.6,33-2040,1.0
223.7,33-2040,1.0
241,33-2040,1.0
241.1,33-2040,1.0
242,33-2040,1.0
340,33-2040,1.0
340.1,33-2040,1.0
340.3,33-2040,1.0
340.5,33-2040,1.0
340.6,33-2040,1.0
340.7,33-2040,1.0
341,33-2040,1.0
360.2,33-2040,1.0
360.3,33-2040,1.0
360.4,33-2040,1.0
210.4,33-2380,2.0
220.1,33-2380,2.0
220.2,33-2380,2.0
223,33-2380,2.0
223.2,33-2380,2.0
223.3,33-2380,2.0
223.5,33-2380,2.0
240.1,33-2380,2.0
241.1,33-2380,2.0
242,33-2380,2.0
250.1,33-2380,2.0
340,33-2380,2.0
340.1,33-2380,2.0
340.3,33-2380,2.0
340.5,33-2380,2.0
340.6,33-2380,2.0
340.7,33-2380,2.0
341,33-2380,2.0
350,33-2380,2.0
350.1,33-2380,2.0
350.3,33-2380,2.0
350.5,33-2380,2.0
350.6,33-2380,2.0
360.2,33-2380,2.0
360.4,33-2380,2.0
370.2,33-2380,2.0
370.21,33-2380,2.0
370.4,33-2380,2.0
370.6,33-2380,2.0
370.7,33-2380,2.0
370.8,33-2380,2.0
371.1,33-2380,2.0
371.3,33-2380,2.0
371.5,33-2380,2.0
371.6,33-2380,2.0
402.4,33-2380,2.0
410,33-2380,2.0
410.1,33-2380,2.0
410.2,33-2380,2.0
410.3,33-2380,2.0
411,33-2380,2.0
412,33-2380,2.0
420,33-2380,2.0
420.1,33-2380,2.0
420.2,33-2380,2.0
420.3,33-2380,2.0
420.4,33-2380,2.0
420.5,33-2380,2.0
420.6,33-2380,2.0
638.1,33-2381,2.0
410.4,33-2385,2.0
470,33-2520,1.0
471,33-2520,1.0
